,City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
451,paris,FR,48.85,2.35,68.0,68,40,3.36
452,banda aceh,ID,5.56,95.32,79.05,78,93,4.47
453,kirakira,SB,-10.45,161.92,83.57,76,39,15.73
454,labuhan,ID,-6.88,112.21,74.34,77,100,12.8
455,aksay,RU,47.26,39.87,62.01,67,61,4.47
456,ikungi,TZ,-5.13,34.77,52.65,76,0,9.46
457,salalah,OM,17.02,54.09,78.8,88,75,8.05
458,bardiyah,LY,31.76,25.09,74.03,82,0,15.3
459,san quintin,MX,30.48,-115.95,69.94,67,0,12.39
460,ulladulla,AU,-35.35,150.47,55.4,100,75,1.1
461,bubaque,GW,11.28,-15.83,80.33,84,100,16.58
462,kabala,SL,9.58,-11.55,70.29,98,100,5.14
463,batemans bay,AU,-35.72,150.18,53.01,78,98,1.01
464,daru,PG,-9.08,143.21,78.71,85,89,17.67
465,emerald,AU,-23.53,148.17,64.0,82,40,4.7
466,kidal,ML,18.44,1.41,86.31,48,75,5.41
467,jacareacanga,BR,-6.22,-57.75,79.97,57,38,1.14
468,ostrovnoy,RU,68.05,39.51,56.46,91,21,10.92
469,leirvik,NO,59.78,5.5,55.0,80,13,3.0
470,altay,CN,47.87,88.12,67.69,53,35,3.27
471,stornoway,GB,58.21,-6.39,55.0,90,100,9.24
472,caluquembe,AO,-13.78,14.68,48.97,64,0,2.08
473,tura,IN,25.52,90.22,73.94,97,100,3.89
474,rawson,AR,-43.3,-65.1,42.8,64,55,20.2
475,mgandu,TZ,-5.95,34.13,53.91,70,0,9.73
476,amapa,BR,1.0,-52.0,72.46,98,80,2.28
477,revelstoke,CA,50.98,-118.2,64.4,68,75,11.41
478,nova zagora,BG,42.48,26.02,68.0,82,5,2.24
479,luderitz,NA,-26.65,15.16,69.8,22,0,8.05
480,matamoros,MX,25.53,-103.25,93.2,34,75,4.7
481,pacifica,US,37.61,-122.49,66.2,59,20,17.22
482,tual,ID,-5.67,132.75,79.72,78,66,20.96
483,viedma,AR,-40.81,-63.0,39.99,76,33,4.0
484,karasjok,NO,69.47,25.51,59.0,87,70,14.99
485,niono,ML,14.25,-5.99,83.7,64,64,15.59
486,najran,SA,17.49,44.13,84.2,30,100,4.7
487,rio gallegos,AR,-51.62,-69.22,35.6,91,75,8.05
488,havre,FR,49.58,0.33,64.4,82,90,10.29
489,san cristobal,VE,7.77,-72.22,86.0,51,40,13.87
490,abeche,TD,13.83,20.83,80.64,63,100,6.58
491,bethanien,NA,-26.5,17.16,55.6,37,0,9.6
492,louga,RU,58.74,29.85,56.23,80,100,7.27
493,saint-felicien,CA,48.65,-72.45,78.8,44,75,10.29
494,odweyne,SO,9.41,45.06,71.78,57,28,18.1
495,evanston,US,42.04,-87.69,82.99,61,1,6.93
496,khanpur,PK,28.65,70.66,95.43,43,0,8.12
497,parrita,CR,9.52,-84.32,69.8,88,75,5.82
498,qujing,CN,25.48,103.78,65.48,86,93,8.52
499,caravelas,BR,-17.71,-39.25,69.44,79,5,4.85
500,aksu,CN,41.12,80.26,75.45,34,3,1.34
501,namatanai,PG,-3.67,152.43,84.96,70,0,9.95
502,kota tinggi,MY,1.74,103.9,75.2,94,20,1.34
503,risaralda,CO,5.17,-75.77,71.6,88,40,4.7
504,koltubanovskiy,RU,52.94,52.03,56.59,86,52,4.16
505,asfi,MA,32.3,-9.24,71.33,84,0,9.24
506,sola,VU,-13.88,167.55,80.24,82,85,28.01
507,erenhot,CN,43.65,111.98,73.45,63,100,18.39
508,leon,MX,21.12,-101.67,84.2,32,40,1.23
509,chiang rai,TH,19.91,99.83,77.0,100,20,3.36
510,zhigansk,RU,66.77,123.37,64.65,68,81,7.78
511,vilyuysk,RU,63.76,121.62,63.9,95,98,3.27
512,onega,RU,63.91,38.14,51.21,84,0,3.31
513,harbour breton,CA,47.48,-55.8,59.81,95,50,7.23
514,kisangani,CD,0.52,25.2,71.06,94,65,0.54
515,narsaq,GL,60.92,-46.05,53.6,76,98,5.82
516,santa cruz de la palma,ES,28.68,-17.76,71.6,78,30,16.11
517,ternate,ID,0.8,127.4,81.48,75,96,3.85
518,puerto baquerizo moreno,EC,-0.9,-89.6,68.58,86,84,12.64
519,saint-augustin,CA,51.23,-58.65,62.96,87,52,2.91
520,troitskoye,RU,52.98,84.68,61.88,94,60,7.81
521,salamiyah,SY,35.01,37.05,69.96,73,0,10.47
522,pedregulho,BR,-20.26,-47.48,60.71,54,0,3.51
523,manicore,BR,-5.81,-61.3,84.2,74,10,1.99
524,tazovskiy,RU,67.47,78.7,49.82,71,2,11.43
525,ust-nera,RU,64.57,143.2,84.79,27,18,2.64
526,labis,MY,2.38,103.02,75.4,88,22,0.78
527,santa luzia,BR,-19.77,-43.85,66.2,77,40,5.82
528,newton stewart,GB,54.96,-4.48,59.0,93,75,11.41
529,itaqui,BR,-29.13,-56.55,47.44,90,100,10.78
530,bonoua,CI,5.27,-3.6,75.2,100,40,3.36
531,pochutla,MX,15.74,-96.47,84.2,74,75,5.82
532,fujieda,JP,34.87,138.27,77.0,94,75,1.12
533,kijini,TZ,-5.85,39.32,74.84,76,87,14.18
534,sembakung,ID,3.82,117.25,77.52,84,100,2.33
535,amuntai,ID,-2.42,115.25,73.26,94,88,0.78
536,takoradi,GH,4.88,-1.76,75.15,87,57,10.47
537,galesong,ID,-5.32,119.37,68.0,100,20,2.24
538,ciudad bolivar,VE,8.12,-63.55,80.55,80,67,3.04
539,mackay,AU,-21.15,149.2,66.2,82,90,11.41
540,chandler,US,33.31,-111.84,104.0,27,20,4.7
541,svetlyy,RU,54.67,20.13,60.8,87,75,6.71
542,kinkala,CG,-4.36,14.76,73.29,53,19,6.6
543,kaohsiung,TW,22.62,120.31,86.0,74,75,6.93
544,challans,FR,46.84,-1.87,63.0,88,70,5.82
545,komotini,GR,41.12,25.4,67.57,64,1,7.02
546,carutapera,BR,-1.2,-46.02,78.01,82,94,7.65
547,grand-santi,GF,4.25,-54.38,73.29,96,89,2.75
548,dustlik,UZ,40.52,68.04,72.59,40,11,2.93
549,sale,MA,34.04,-6.82,73.99,88,0,4.7
550,dunedin,NZ,-45.87,170.5,55.99,46,93,11.01
551,kokopo,PG,-4.35,152.26,85.93,64,0,11.43
552,bowen,AU,-20.02,148.23,72.0,88,13,5.82
553,capelle,DE,51.73,7.59,64.0,88,15,5.82
554,manavalakurichi,IN,8.13,77.3,78.8,88,40,2.24
555,amahai,ID,-3.33,128.92,79.3,81,52,7.67
556,alasehir,TR,38.35,28.52,71.01,44,0,5.99
557,sompeta,IN,18.93,84.6,81.43,77,80,6.11
558,diamantino,BR,-14.41,-56.45,77.59,35,69,4.07
559,kutum,SD,14.2,24.67,81.63,34,83,4.32
560,almaty,KZ,43.25,76.95,62.6,93,75,4.47
561,stoughton,US,42.13,-71.1,78.8,61,1,5.82
562,tutoia,BR,-2.76,-42.27,79.21,80,71,10.22
563,neka,IR,36.65,53.3,77.0,88,40,9.17
564,hobyo,SO,5.35,48.53,77.04,73,78,24.25
565,raga,SS,8.46,25.68,70.12,89,97,5.73
566,masvingo,ZW,-20.06,30.83,48.27,82,52,5.93
567,indramayu,ID,-6.33,108.32,76.17,74,97,8.08
568,dharchula,IN,29.85,80.53,67.62,75,81,0.56
